,acc_ensemble,acc_1,acc_2,acc_3,loss_1,loss_2,loss_3
0,0.5619999766349792,0.5360000133514404,0.5479999780654907,0.5600000023841858,1.1549893617630005,1.1931686401367188,1.208509922027588
1,0.6679999828338623,0.6620000004768372,0.656000018119812,0.6620000004768372,1.083357572555542,0.9890885949134827,1.159475326538086
2,0.7059999704360962,0.6940000057220459,0.7039999961853027,0.6980000138282776,0.9019573926925659,0.9006931781768799,0.8516042828559875
3,0.765999972820282,0.7540000081062317,0.7639999985694885,0.7540000081062317,0.9072444438934326,0.7498500943183899,0.7974371910095215
4,0.8059999942779541,0.8019999861717224,0.7919999957084656,0.777999997138977,0.6340233087539673,0.7879766225814819,0.6280101537704468
5,0.8339999914169312,0.8320000171661377,0.8259999752044678,0.8320000171661377,0.62482088804245,0.6033058166503906,0.5670145153999329
6,0.8420000076293945,0.8479999899864197,0.8399999737739563,0.8320000171661377,0.4975355267524719,0.7029238939285278,0.6824887990951538
7,0.8479999899864197,0.8539999723434448,0.8519999980926514,0.8539999723434448,0.4980543851852417,0.5069795846939087,0.7183111310005188
8,0.8700000047683716,0.8579999804496765,0.8679999709129333,0.8560000061988831,0.44703906774520874,0.39462408423423767,0.4243581295013428
9,0.8859999775886536,0.878000020980835,0.8740000128746033,0.8740000128746033,0.37129083275794983,0.2398023009300232,0.5839793682098389
10,0.8899999856948853,0.8840000033378601,0.8960000276565552,0.8799999952316284,0.30185163021087646,0.4230955243110657,0.33308500051498413
11,0.9100000262260437,0.9079999923706055,0.8980000019073486,0.8980000019073486,0.36253637075424194,0.4964120388031006,0.4251611828804016
12,0.9120000004768372,0.9020000100135803,0.9139999747276306,0.8999999761581421,0.28557926416397095,0.1966663897037506,0.4884798228740692
13,0.9359999895095825,0.9419999718666077,0.9279999732971191,0.9240000247955322,0.19914095103740692,0.2447991818189621,0.29885390400886536
14,0.9419999718666077,0.9440000057220459,0.9440000057220459,0.9359999895095825,0.3681948184967041,0.17661693692207336,0.1918424665927887
15,0.9359999895095825,0.9340000152587891,0.9359999895095825,0.9399999976158142,0.24122540652751923,0.15505453944206238,0.21777917444705963
16,0.9419999718666077,0.9440000057220459,0.9440000057220459,0.949999988079071,0.21037331223487854,0.22340041399002075,0.23635461926460266
17,0.9459999799728394,0.9459999799728394,0.9399999976158142,0.9459999799728394,0.15805017948150635,0.36096319556236267,0.20718425512313843
18,0.9639999866485596,0.9679999947547913,0.9520000219345093,0.9559999704360962,0.24550658464431763,0.07008305937051773,0.11705054342746735
19,0.9800000190734863,0.984000027179718,0.9760000109672546,0.9760000109672546,0.17876623570919037,0.09570803493261337,0.08840764313936234
20,0.9679999947547913,0.9700000286102295,0.9620000123977661,0.9700000286102295,0.18775629997253418,0.11737598478794098,0.054035574197769165
21,0.972000002861023,0.9760000109672546,0.9679999947547913,0.972000002861023,0.0609721802175045,0.07558263838291168,0.10775649547576904
22,0.984000027179718,0.9800000190734863,0.984000027179718,0.9800000190734863,0.07606786489486694,0.049769483506679535,0.17474490404129028
23,0.9819999933242798,0.9739999771118164,0.984000027179718,0.9739999771118164,0.05203394591808319,0.05652210861444473,0.09157206863164902
24,0.984000027179718,0.9819999933242798,0.9879999756813049,0.9800000190734863,0.02265697717666626,0.056202907115221024,0.04605107009410858
25,0.9779999852180481,0.9760000109672546,0.9739999771118164,0.9739999771118164,0.1109834611415863,0.04806873947381973,0.059518441557884216
26,0.9860000014305115,0.9800000190734863,0.9819999933242798,0.9900000095367432,0.08750765025615692,0.03472323343157768,0.03815551847219467
