,train_acc,train_loss,val_acc,val_loss
0,0.875,0.6137056350708008,0.9132999777793884,0.2917737364768982
1,0.9375,0.3869745135307312,0.9247000217437744,0.2517244517803192
2,0.90625,0.1735619306564331,0.9265999794006348,0.2348906248807907
3,0.84375,0.5656959414482117,0.9332000017166138,0.21614477038383484
4,1.0,0.013051471672952175,0.9373999834060669,0.21029667556285858
5,1.0,0.021125072613358498,0.942300021648407,0.18973851203918457
6,0.96875,0.07915473729372025,0.940500020980835,0.19254709780216217
7,1.0,0.02468768134713173,0.9437000155448914,0.1831364929676056
8,1.0,0.02486152946949005,0.9451000094413757,0.1804470270872116
9,1.0,0.0442427434027195,0.9431999921798706,0.19281522929668427
10,1.0,0.03584691137075424,0.9445000290870667,0.18250374495983124
11,1.0,0.02418818324804306,0.9416999816894531,0.199876070022583
12,1.0,0.004271097481250763,0.9465000033378601,0.18707986176013947
13,1.0,0.011816658079624176,0.9448000192642212,0.18547891080379486
14,1.0,0.01456655003130436,0.9434000253677368,0.19431760907173157
