,acc_ensemble,acc_1,acc_2,acc_3,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,loss_1,loss_2,loss_3,val_loss_1,val_loss_2,val_loss_3
0,1.0,1.0,1.0,1.0,0.8967000246047974,0.8907999992370605,0.8899999856948853,0.8914999961853027,0.0018827079329639673,0.005951810162514448,0.004806713201105595,0.3988089859485626,0.3953760266304016,0.3919362723827362
1,1.0,1.0,1.0,1.0,0.9025999903678894,0.8973000049591064,0.8964999914169312,0.8986999988555908,0.0010952476877719164,0.0013253346551209688,0.0007756994455121458,0.38613608479499817,0.3864673972129822,0.37699946761131287
2,1.0,1.0,1.0,1.0,0.9038000106811523,0.8991000056266785,0.8968999981880188,0.899399995803833,0.0006843581795692444,0.0008570930222049356,0.0006955263088457286,0.38931578397750854,0.3907950222492218,0.3803732991218567
3,1.0,1.0,1.0,1.0,0.9038000106811523,0.8992999792098999,0.8980000019073486,0.9009000062942505,0.00040992064168676734,0.0003321354743093252,0.0003605903475545347,0.3929723799228668,0.39479008316993713,0.3837552070617676
4,1.0,1.0,1.0,1.0,0.9042999744415283,0.8999999761581421,0.8985999822616577,0.9004999995231628,0.0003260837693233043,0.00029333849670365453,0.000312808551825583,0.395793080329895,0.39838144183158875,0.3865870237350464
5,1.0,1.0,1.0,1.0,0.9042999744415283,0.8999000191688538,0.8991000056266785,0.9003999829292297,0.0001357063592877239,0.00047525044647045434,0.00028727907920256257,0.39863163232803345,0.4014871418476105,0.39004766941070557
6,1.0,1.0,1.0,1.0,0.90420001745224,0.8999999761581421,0.8991000056266785,0.9010999798774719,0.00020796492754016072,0.0002475070068612695,0.00021908855705987662,0.40156298875808716,0.4048990309238434,0.39313560724258423
7,1.0,1.0,1.0,1.0,0.9041000008583069,0.9003999829292297,0.8992000222206116,0.9013000130653381,0.00012145987420808524,0.00019950726709794253,0.000171420892002061,0.4045173227787018,0.4073377549648285,0.3959363102912903
8,1.0,1.0,1.0,1.0,0.9041000008583069,0.8998000025749207,0.8989999890327454,0.901199996471405,0.00018220747006125748,0.0001794306590454653,0.00014915812062099576,0.40704718232154846,0.4096471667289734,0.3984336256980896
9,1.0,1.0,1.0,1.0,0.904699981212616,0.8995000123977661,0.8995000123977661,0.9017000198364258,5.138959386385977e-05,0.00029528391314670444,9.010729991132393e-05,0.4097468852996826,0.41208192706108093,0.4009740650653839
