,train_acc,train_loss,val_acc,val_loss
0,1.0,0.442409485578537,0.8980000019073486,0.8977058529853821
1,0.96875,0.3442225158214569,0.8930000066757202,0.8201401233673096
2,1.0,0.421720415353775,0.8920000195503235,0.7610241770744324
3,0.96875,0.30880001187324524,0.8970000147819519,0.7112931609153748
4,1.0,0.21004918217658997,0.8980000019073486,0.6741945743560791
5,1.0,0.1651458591222763,0.8960000276565552,0.6438992023468018
6,1.0,0.20742429792881012,0.9010000228881836,0.6051458716392517
7,1.0,0.12895087897777557,0.8980000019073486,0.5810834765434265
8,1.0,0.13905099034309387,0.902999997138977,0.5561234354972839
9,1.0,0.09169765561819077,0.902999997138977,0.5337138175964355
10,1.0,0.113593190908432,0.906000018119812,0.514008641242981
11,1.0,0.1112242266535759,0.9079999923706055,0.49894997477531433
12,1.0,0.10132422298192978,0.9049999713897705,0.4825766384601593
13,1.0,0.06180492043495178,0.902999997138977,0.46808114647865295
14,1.0,0.08511599898338318,0.9070000052452087,0.45033735036849976
