,acc_ensemble,acc_1,acc_2,acc_3,loss_1,loss_2,loss_3
6,0.7799999713897705,0.7590000033378601,0.753000020980835,0.7879999876022339,0.7010146975517273,0.5330658555030823,0.5821967124938965
7,0.8090000152587891,0.7829999923706055,0.7910000085830688,0.777999997138977,0.5686044692993164,0.5883525013923645,0.677837610244751
8,0.8220000267028809,0.8100000023841858,0.7979999780654907,0.8009999990463257,0.6930336356163025,0.68414306640625,0.5551995038986206
9,0.8309999704360962,0.8050000071525574,0.8240000009536743,0.8240000009536743,0.6573575139045715,0.478210985660553,0.5786073207855225
10,0.8309999704360962,0.8109999895095825,0.8299999833106995,0.8240000009536743,0.7592493295669556,0.5200919508934021,0.5096988677978516
11,0.8700000047683716,0.8529999852180481,0.8450000286102295,0.8489999771118164,0.32407146692276,0.6072239875793457,0.48068922758102417
12,0.8740000128746033,0.859000027179718,0.8460000157356262,0.8560000061988831,0.30460798740386963,0.23857828974723816,0.39887040853500366
13,0.8840000033378601,0.8650000095367432,0.8650000095367432,0.8619999885559082,0.37523365020751953,0.6095378994941711,0.488534539937973
14,0.8899999856948853,0.8709999918937683,0.8709999918937683,0.875,0.2069680094718933,0.48256316781044006,0.4438822269439697
15,0.8960000276565552,0.8889999985694885,0.8840000033378601,0.8640000224113464,0.6806400418281555,0.43100738525390625,0.44521042704582214
16,0.9079999923706055,0.8820000290870667,0.8820000290870667,0.8920000195503235,0.3472382724285126,0.4774637222290039,0.4846082031726837
17,0.9139999747276306,0.8970000147819519,0.8799999952316284,0.9049999713897705,0.5865918397903442,0.2340926080942154,0.2642294466495514
18,0.9129999876022339,0.9070000052452087,0.890999972820282,0.8939999938011169,0.27518779039382935,0.3408491015434265,0.21330130100250244
19,0.9269999861717224,0.9039999842643738,0.9150000214576721,0.9039999842643738,0.2701011300086975,0.27371945977211,0.2763035297393799
20,0.9330000281333923,0.9100000262260437,0.902999997138977,0.9110000133514404,0.10380849242210388,0.298610657453537,0.2806338667869568
21,0.9359999895095825,0.9290000200271606,0.906000018119812,0.9160000085830688,0.24353443086147308,0.19130071997642517,0.32826241850852966
22,0.9279999732971191,0.9190000295639038,0.9089999794960022,0.9269999861717224,0.1379256546497345,0.12439264357089996,0.27886462211608887
23,0.9559999704360962,0.9290000200271606,0.9300000071525574,0.9229999780654907,0.1413903832435608,0.21657264232635498,0.3428741693496704
24,0.9490000009536743,0.9210000038146973,0.9319999814033508,0.9309999942779541,0.23834651708602905,0.3101133704185486,0.3018757402896881
25,0.9520000219345093,0.9330000281333923,0.925000011920929,0.9369999766349792,0.12017737329006195,0.312695175409317,0.22809472680091858
26,0.9629999995231628,0.9459999799728394,0.9380000233650208,0.9369999766349792,0.13807375729084015,0.14638307690620422,0.13422586023807526
27,0.9679999947547913,0.9559999704360962,0.9470000267028809,0.9509999752044678,0.07821992039680481,0.22738483548164368,0.11317235231399536
28,0.9589999914169312,0.9440000057220459,0.9459999799728394,0.953000009059906,0.12641271948814392,0.11924727261066437,0.06968357414007187
29,0.9670000076293945,0.9419999718666077,0.9419999718666077,0.9449999928474426,0.4049227833747864,0.08243659138679504,0.16350135207176208
30,0.9670000076293945,0.9340000152587891,0.9509999752044678,0.9539999961853027,0.15099845826625824,0.12599001824855804,0.13000455498695374
31,0.9810000061988831,0.949999988079071,0.9670000076293945,0.9679999947547913,0.4905620813369751,0.10395072400569916,0.25633203983306885
32,0.9779999852180481,0.9570000171661377,0.9649999737739563,0.9660000205039978,0.13439978659152985,0.19705121219158173,0.08131629973649979
33,0.9789999723434448,0.9589999914169312,0.9639999866485596,0.9670000076293945,0.12313097715377808,0.04335639625787735,0.1080661416053772
34,0.9879999756813049,0.9739999771118164,0.972000002861023,0.968999981880188,0.1549229621887207,0.08840060234069824,0.10444661229848862
