,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,1.0,1.0,0.875,1.0,0.9375,0.6080374121665955,0.5269793272018433,0.7715429067611694,0.5600904822349548,0.953000009059906,0.9509999752044678,0.9390000104904175,0.9459999799728394,0.9679999947547913,0.7035937309265137,0.7092084884643555,0.7059098482131958,0.7022057175636292
1,1.0,1.0,1.0,1.0,0.34375,0.4639870226383209,0.4253045916557312,0.3274640738964081,0.3027966022491455,0.9555000066757202,0.9490000009536743,0.9465000033378601,0.9549999833106995,0.9629999995231628,0.5502622127532959,0.5566109418869019,0.5554476380348206,0.541638970375061
2,1.0,1.0,1.0,1.0,0.5625,0.2021530270576477,0.3148810863494873,0.2552933096885681,0.3645426630973816,0.9545000195503235,0.9564999938011169,0.9474999904632568,0.9605000019073486,0.9624999761581421,0.4719335436820984,0.4724377393722534,0.4756695032119751,0.46663427352905273
3,1.0,1.0,1.0,1.0,0.34375,0.3083263039588928,0.23915961384773254,0.163384348154068,0.2646193206310272,0.9545000195503235,0.9549999833106995,0.9570000171661377,0.9555000066757202,0.9635000228881836,0.4170698821544647,0.4227832853794098,0.4206443727016449,0.4168679714202881
4,1.0,1.0,1.0,1.0,0.28125,0.10921265929937363,0.17558321356773376,0.1376778483390808,0.1440669298171997,0.9585000276565552,0.9545000195503235,0.9539999961853027,0.9580000042915344,0.9635000228881836,0.3795071244239807,0.38304170966148376,0.38595491647720337,0.3810046315193176
5,1.0,1.0,1.0,1.0,0.34375,0.14585119485855103,0.11451928317546844,0.1473405957221985,0.11684116721153259,0.9620000123977661,0.9624999761581421,0.9549999833106995,0.9589999914169312,0.9639999866485596,0.3508787453174591,0.35059934854507446,0.35762932896614075,0.352714478969574
6,1.0,1.0,1.0,1.0,0.5,0.1263304352760315,0.08166880160570145,0.14947402477264404,0.13084881007671356,0.9624999761581421,0.9589999914169312,0.9580000042915344,0.9589999914169312,0.9639999866485596,0.3262661099433899,0.32857561111450195,0.33591988682746887,0.3301042914390564
7,1.0,1.0,1.0,1.0,0.40625,0.09169559180736542,0.09392433613538742,0.10501115769147873,0.12416864186525345,0.9624999761581421,0.9585000276565552,0.9580000042915344,0.9610000252723694,0.9635000228881836,0.3092760145664215,0.3129926919937134,0.3189835846424103,0.31224769353866577
8,1.0,1.0,0.96875,1.0,0.3125,0.1054479107260704,0.08352132886648178,0.1722734272480011,0.08795833587646484,0.9629999995231628,0.9589999914169312,0.9589999914169312,0.9589999914169312,0.9629999995231628,0.29266834259033203,0.2981165051460266,0.30242329835891724,0.2983565032482147
9,1.0,0.96875,1.0,1.0,0.40625,0.07967805117368698,0.1463243067264557,0.08659172058105469,0.11244364082813263,0.9629999995231628,0.9620000123977661,0.9570000171661377,0.9624999761581421,0.9635000228881836,0.2825474441051483,0.2839313745498657,0.29824116826057434,0.28334715962409973
10,1.0,1.0,1.0,1.0,0.34375,0.050290871411561966,0.07879320532083511,0.042563796043395996,0.05665535479784012,0.9614999890327454,0.9599999785423279,0.9589999914169312,0.9589999914169312,0.9639999866485596,0.27252593636512756,0.275802880525589,0.2824645936489105,0.27487683296203613
11,1.0,1.0,1.0,1.0,0.40625,0.06452741473913193,0.035829901695251465,0.05789691209793091,0.0628986731171608,0.9624999761581421,0.9585000276565552,0.9595000147819519,0.9570000171661377,0.9639999866485596,0.2637878656387329,0.2678539454936981,0.2725929319858551,0.2676483988761902
12,1.0,1.0,1.0,1.0,0.3125,0.05523620918393135,0.04853983223438263,0.05355920270085335,0.09713372588157654,0.9635000228881836,0.9570000171661377,0.9555000066757202,0.9564999938011169,0.9624999761581421,0.2561465799808502,0.25982406735420227,0.26604247093200684,0.2589179277420044
13,1.0,1.0,1.0,1.0,0.5,0.10760801285505295,0.04774385690689087,0.10867204517126083,0.08599912375211716,0.9605000019073486,0.9599999785423279,0.9564999938011169,0.9589999914169312,0.9639999866485596,0.249267116189003,0.25088340044021606,0.2621251940727234,0.25032880902290344
14,1.0,1.0,1.0,1.0,0.3125,0.02698417752981186,0.08702562749385834,0.04239492118358612,0.04031527042388916,0.9624999761581421,0.9585000276565552,0.9599999785423279,0.9574999809265137,0.9645000100135803,0.24262702465057373,0.2454359382390976,0.252228319644928,0.2471746951341629
