,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,1.0,0.78125,0.9375,0.3125,0.9508370161056519,1.267226219177246,0.8873586058616638,0.9888125061988831,0.9888749718666077,0.988937497138977,0.9908750057220459,0.5993255376815796,0.5869855284690857,0.5837814211845398
1,1.0,0.96875,0.96875,0.3125,0.6840999126434326,0.5202425718307495,0.8151281476020813,0.9900624752044678,0.9898750185966492,0.9894375205039978,0.9909374713897705,0.36709046363830566,0.3640122413635254,0.3633720278739929
2,1.0,0.96875,0.96875,0.4375,0.5173248052597046,0.6551446914672852,0.45370787382125854,0.9903749823570251,0.9898750185966492,0.9898750185966492,0.9909374713897705,0.2745550572872162,0.2739031910896301,0.27565431594848633
3,0.9375,1.0,1.0,0.25,0.7739762663841248,0.4535282552242279,0.29272592067718506,0.9901250004768372,0.9905624985694885,0.9900000095367432,0.9909374713897705,0.22762197256088257,0.22884084284305573,0.2313307523727417
4,1.0,1.0,1.0,0.25,0.3406808376312256,0.2387186884880066,0.29850608110427856,0.9903749823570251,0.9902499914169312,0.9899374842643738,0.9906874895095825,0.20090606808662415,0.20335805416107178,0.20429393649101257
5,1.0,0.96875,0.96875,0.65625,0.17454561591148376,0.5480436086654663,0.4885465204715729,0.9904375076293945,0.9902499914169312,0.9900624752044678,0.9908750057220459,0.18283389508724213,0.1851683109998703,0.1844826489686966
6,0.96875,1.0,1.0,0.46875,0.3864121437072754,0.18313480913639069,0.41501644253730774,0.9904375076293945,0.9902499914169312,0.9901250004768372,0.9908750057220459,0.16953161358833313,0.17121225595474243,0.17197158932685852
7,1.0,1.0,1.0,0.4375,0.21020440757274628,0.23081213235855103,0.528190016746521,0.9902499914169312,0.9901250004768372,0.9898750185966492,0.9909999966621399,0.16121208667755127,0.1625644713640213,0.16339437663555145
8,1.0,1.0,0.96875,0.4375,0.11501562595367432,0.16329523921012878,0.26388129591941833,0.9903125166893005,0.9902499914169312,0.9901250004768372,0.9908750057220459,0.15400607883930206,0.1552361398935318,0.15512633323669434
9,1.0,0.9375,0.96875,0.40625,0.16997432708740234,0.3494250178337097,0.3327741026878357,0.9903125166893005,0.9902499914169312,0.9901875257492065,0.9908750057220459,0.1463319957256317,0.14771480858325958,0.14697183668613434
10,1.0,0.96875,1.0,0.375,0.09755650162696838,0.23280730843544006,0.2439541071653366,0.9903749823570251,0.9903749823570251,0.9899374842643738,0.9909999966621399,0.14222301542758942,0.1426958590745926,0.1428190916776657
11,1.0,1.0,1.0,0.40625,0.11067564785480499,0.15014305710792542,0.24442139267921448,0.9902499914169312,0.9904999732971191,0.9900624752044678,0.9909374713897705,0.1380031406879425,0.13814423978328705,0.13922803103923798
12,1.0,1.0,1.0,0.15625,0.18572627007961273,0.1298874020576477,0.07306969165802002,0.9904375076293945,0.9902499914169312,0.9900000095367432,0.9909999966621399,0.13290148973464966,0.13323667645454407,0.1340927928686142
13,1.0,0.96875,1.0,0.15625,0.09810604155063629,0.20606346428394318,0.06326370686292648,0.9903749823570251,0.9904375076293945,0.9903125166893005,0.9907500147819519,0.13102801144123077,0.1317450851202011,0.1310744285583496
14,1.0,1.0,1.0,0.40625,0.10376489162445068,0.0660843700170517,0.08278253674507141,0.9901250004768372,0.9904999732971191,0.9901250004768372,0.9910625219345093,0.130565345287323,0.12832871079444885,0.12897521257400513
