,acc_ensemble,acc_1,acc_2,acc_3,acc_4,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,loss_1,loss_2,loss_3,loss_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,1.0,1.0,1.0,1.0,1.0,0.8959000110626221,0.8959000110626221,0.8959000110626221,0.8959000110626221,0.8959000110626221,0.002308742143213749,0.003730146214365959,0.002398191951215267,0.0014674364356324077,0.35028770565986633,0.35028770565986633,0.35028770565986633,0.35028770565986633
1,1.0,1.0,1.0,1.0,1.0,0.8985999822616577,0.8985999822616577,0.8985999822616577,0.8985999822616577,0.8985999822616577,0.0010572571773082018,0.0009416317916475236,0.0010003425413742661,0.0009606722742319107,0.35294389724731445,0.35294389724731445,0.35294389724731445,0.35294389724731445
2,1.0,1.0,1.0,1.0,1.0,0.9003000259399414,0.9003000259399414,0.9003000259399414,0.9003000259399414,0.9003000259399414,0.00047508644638583064,0.0007446075323969126,0.0006955781718716025,0.0005222296458669007,0.35725298523902893,0.35725298523902893,0.35725298523902893,0.35725298523902893
3,1.0,1.0,1.0,1.0,1.0,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.0006207398255355656,0.0004379372694529593,0.0004799184389412403,0.000610704708378762,0.3609190285205841,0.3609190285205841,0.3609190285205841,0.3609190285205841
4,1.0,1.0,1.0,1.0,1.0,0.9010999798774719,0.9010999798774719,0.9010999798774719,0.9010999798774719,0.9010999798774719,0.0003593867877498269,0.00034941048943437636,0.0003062697360292077,0.0003062697360292077,0.36531975865364075,0.36531975865364075,0.36531975865364075,0.36531975865364075
5,1.0,1.0,1.0,1.0,1.0,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.00027681782376021147,0.0002591197262518108,0.0002009279269259423,0.0003162208595313132,0.3689741790294647,0.3689741790294647,0.3689741790294647,0.3689741790294647
6,1.0,1.0,1.0,1.0,1.0,0.9023000001907349,0.9023000001907349,0.9023000001907349,0.9023000001907349,0.9023000001907349,0.00012841193529311568,0.00013305206084623933,0.0001514921896159649,0.00019551129662431777,0.37181124091148376,0.37181124091148376,0.37181124091148376,0.37181124091148376
7,1.0,1.0,1.0,1.0,1.0,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.0001625937584321946,0.00016671849880367517,0.0001848928804975003,0.00020638079149648547,0.3750161826610565,0.3750161826610565,0.3750161826610565,0.3750161826610565
8,1.0,1.0,1.0,1.0,1.0,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.9020000100135803,0.00017284721252508461,0.00012178366159787402,8.124512532958761e-05,0.00013719458365812898,0.3785102069377899,0.3785102069377899,0.3785102069377899,0.3785102069377899
9,1.0,1.0,1.0,1.0,1.0,0.9021000266075134,0.9021000266075134,0.9021000266075134,0.9021000266075134,0.9021000266075134,0.00010302478767698631,0.00012796648661606014,0.00011258531594648957,0.00010851956903934479,0.38132187724113464,0.38132187724113464,0.38132187724113464,0.38132187724113464
