,acc_1,acc_2,acc_3,acc_4,acc_5,acc_ensemble,loss_1,loss_2,loss_3,loss_4,loss_5,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,0.9088500142097473,0.9084500074386597,0.9190000295639038,0.9029499888420105,0.9176499843597412,0.9818000197410583,1.2445244789123535,0.899542510509491,0.9041878581047058,1.1913414001464844,1.124602198600769,0.8912000060081482,0.8894500136375427,0.9005500078201294,0.8850499987602234,0.8956000208854675,0.9754999876022339,1.0263804197311401,1.023914098739624,0.9860548973083496,1.0387413501739502,0.9941914081573486
1,0.966949999332428,0.9659500122070312,0.9660500288009644,0.9655500054359436,0.9664999842643738,0.9884499907493591,0.3479762077331543,0.5086807608604431,0.23297320306301117,0.02479824423789978,0.2947075664997101,0.9557999968528748,0.952049970626831,0.9531499743461609,0.9546499848365784,0.9537000060081482,0.9839500188827515,0.4745081067085266,0.48662909865379333,0.47553226351737976,0.4819709062576294,0.4654291868209839
2,0.9751999974250793,0.9745000004768372,0.9757500290870667,0.974399983882904,0.9769499897956848,0.9894499778747559,0.02610199525952339,0.17482411861419678,0.2405804693698883,0.38485047221183777,0.019549177959561348,0.9648000001907349,0.9621000289916992,0.9664499759674072,0.9636499881744385,0.9650499820709229,0.9843500256538391,0.37557730078697205,0.38300785422325134,0.35952654480934143,0.3763222098350525,0.36725810170173645
3,0.9793499708175659,0.9779999852180481,0.9800999760627747,0.9780499935150146,0.9790999889373779,0.990149974822998,0.0066747646778821945,0.07212799042463303,0.007812836207449436,0.008461479097604752,0.015210572630167007,0.9686999917030334,0.964900016784668,0.9696000218391418,0.9643999934196472,0.9673500061035156,0.9840999841690063,0.3277462422847748,0.3405661880970001,0.3184773325920105,0.34227874875068665,0.33485567569732666
4,0.9811000227928162,0.9786999821662903,0.982200026512146,0.9811999797821045,0.9800500273704529,0.9908999800682068,0.006173427682369947,0.012305302545428276,0.0040840390138328075,0.008689087815582752,0.21732604503631592,0.9729999899864197,0.9675499796867371,0.9729499816894531,0.9698500037193298,0.9674000144004822,0.9852499961853027,0.3009093701839447,0.3163411617279053,0.2968376874923706,0.3079659640789032,0.3145073652267456
5,0.9807999730110168,0.9814500212669373,0.982200026512146,0.9835000038146973,0.9829999804496765,0.9908000230789185,0.004223419353365898,0.006840369198471308,0.003510794835165143,0.002982253208756447,0.00596958864480257,0.9718999862670898,0.9710000157356262,0.973550021648407,0.9731500148773193,0.9714499711990356,0.9848999977111816,0.295806884765625,0.2948167622089386,0.28639623522758484,0.2887840270996094,0.2942085564136505
6,0.9838500022888184,0.980650007724762,0.9822499752044678,0.9835500121116638,0.9836500287055969,0.9903500080108643,0.0042130607180297375,0.0064193615689873695,0.038317132741212845,0.0035145736765116453,0.132362961769104,0.9744499921798706,0.9692000150680542,0.9732999801635742,0.9728999733924866,0.9721999764442444,0.9851499795913696,0.2795909643173218,0.2943362295627594,0.2772535979747772,0.2825275957584381,0.28181180357933044
7,0.9843999743461609,0.9817500114440918,0.9825000166893005,0.9836500287055969,0.9832500219345093,0.9904500246047974,0.005653008818626404,0.003793832380324602,0.0038466230034828186,0.0023923246189951897,0.006316437851637602,0.975849986076355,0.9715999960899353,0.9736999869346619,0.974049985408783,0.9732000231742859,0.9852499961853027,0.27027156949043274,0.28222814202308655,0.2728716731071472,0.27342650294303894,0.2755926847457886
8,0.9847999811172485,0.9832000136375427,0.9845499992370605,0.984499990940094,0.984000027179718,0.9907500147819519,0.007184378802776337,0.0020540161058306694,0.005379748530685902,0.1528400480747223,0.01367438305169344,0.9763500094413757,0.9738500118255615,0.9750999808311462,0.9747499823570251,0.9732999801635742,0.9851999878883362,0.2620602548122406,0.26990166306495667,0.26092925667762756,0.2659243643283844,0.2697274088859558
9,0.9848999977111816,0.9833499789237976,0.9847999811172485,0.9843999743461609,0.9839500188827515,0.9907000064849854,0.0017012349562719464,0.2135234773159027,0.0022324398159980774,0.0034020196180790663,0.3004496693611145,0.9769999980926514,0.9736499786376953,0.9760500192642212,0.9750499725341797,0.9722999930381775,0.9851999878883362,0.2567807734012604,0.26635488867759705,0.25330016016960144,0.26120367646217346,0.2665315866470337
10,0.9848999977111816,0.9837499856948853,0.9846000075340271,0.9851999878883362,0.9836000204086304,0.9908499717712402,0.0032970812171697617,0.0012262663803994656,0.2234371304512024,0.0034797233529388905,0.0019788756035268307,0.9773499965667725,0.9728999733924866,0.9754499793052673,0.975350022315979,0.9725000262260437,0.9851999878883362,0.25342774391174316,0.2654474973678589,0.24898897111415863,0.2552688419818878,0.2637290358543396
11,0.9853500127792358,0.9837999939918518,0.9836999773979187,0.9847000241279602,0.9846000075340271,0.9911500215530396,0.09916988015174866,0.0019900877960026264,0.1418769657611847,0.006325213238596916,0.0065050688572227955,0.9772999882698059,0.9728500247001648,0.974399983882904,0.9759500026702881,0.9745500087738037,0.9854000210762024,0.2502703368663788,0.2608218193054199,0.2549442946910858,0.2529614269733429,0.25592488050460815
12,0.9853000044822693,0.9846000075340271,0.9850999712944031,0.9852499961853027,0.9857000112533569,0.9910500049591064,0.004017549566924572,0.05888799577951431,0.0019639432430267334,0.003384178504347801,0.007782911881804466,0.9772999882698059,0.9743499755859375,0.9761999845504761,0.9762499928474426,0.9749500155448914,0.9853000044822693,0.2476990669965744,0.25395604968070984,0.2451544851064682,0.24832095205783844,0.24919292330741882
13,0.985450029373169,0.9844499826431274,0.9851999878883362,0.9855499863624573,0.986299991607666,0.9909999966621399,0.07404094934463501,0.004078126512467861,0.0011449961457401514,0.0008860959205776453,0.00222965725697577,0.977649986743927,0.9747499823570251,0.9772499799728394,0.9768000245094299,0.9758999943733215,0.9854000210762024,0.24406391382217407,0.24868230521678925,0.24011142551898956,0.2445375919342041,0.2449977546930313
14,0.9854999780654907,0.9843000173568726,0.9853000044822693,0.9857000112533569,0.985450029373169,0.9909499883651733,0.0018250092398375273,0.0015846715541556478,0.0011652065441012383,0.0022713756188750267,0.0026830527931451797,0.9773499965667725,0.9750999808311462,0.977400004863739,0.9770500063896179,0.9749000072479248,0.9853000044822693,0.24187533557415009,0.24608930945396423,0.23738330602645874,0.24200332164764404,0.24687856435775757
