,train_acc_1,train_acc_2,train_acc_3,train_loss_1,train_loss_2,train_loss_3,val_acc,val_acc_1,val_acc_2,val_acc_3,val_loss_1,val_loss_2,val_loss_3
0,0.6875,0.875,0.84375,0.9736840724945068,0.7801527976989746,0.8154489994049072,0.9078999757766724,0.8762000203132629,0.8842999935150146,0.8619999885559082,0.6631500720977783,0.7206511497497559,0.7712418437004089
1,0.90625,0.9375,0.96875,0.37802064418792725,0.3306093215942383,0.2524501085281372,0.9557999968528748,0.9509999752044678,0.9483000040054321,0.9508000016212463,0.2577163577079773,0.2692316174507141,0.2821183502674103
2,0.96875,0.9375,0.9375,0.11981052160263062,0.20861896872520447,0.1630362868309021,0.9657999873161316,0.963100016117096,0.9635999798774719,0.9638000130653381,0.15995676815509796,0.16235744953155518,0.17154042422771454
3,0.9375,0.875,0.9375,0.1624843180179596,0.36866676807403564,0.13072028756141663,0.9690999984741211,0.9678000211715698,0.9682000279426575,0.9686999917030334,0.13111145794391632,0.13184134662151337,0.133687824010849
4,1.0,1.0,0.96875,0.03612051159143448,0.05771142989397049,0.11247646063566208,0.9703999757766724,0.9692999720573425,0.9699000120162964,0.9684000015258789,0.11957146227359772,0.11898428946733475,0.12558360397815704
5,0.96875,1.0,0.96875,0.18624649941921234,0.06401237845420837,0.10556811094284058,0.9695000052452087,0.9699000120162964,0.967199981212616,0.9682000279426575,0.11158975958824158,0.11685091257095337,0.11769334971904755
6,1.0,1.0,1.0,0.059481799602508545,0.01269617024809122,0.04622527211904526,0.9768999814987183,0.9757000207901001,0.9764000177383423,0.9750000238418579,0.08926494419574738,0.0897340402007103,0.09241533279418945
7,1.0,1.0,1.0,0.0200632493942976,0.029737863689661026,0.03844213858246803,0.9750999808311462,0.9740999937057495,0.9740999937057495,0.9753000140190125,0.0872298926115036,0.0887487456202507,0.08982543647289276
8,1.0,1.0,0.9375,0.03946208581328392,0.029632341116666794,0.2163655161857605,0.9757000207901001,0.9747999906539917,0.9758999943733215,0.9754999876022339,0.0831294059753418,0.08177702128887177,0.08379421383142471
9,1.0,1.0,1.0,0.015942901372909546,0.05709279328584671,0.02117421105504036,0.9740999937057495,0.9739999771118164,0.9728000164031982,0.9735000133514404,0.08680273592472076,0.08702156692743301,0.08766096830368042
10,1.0,1.0,1.0,0.01680268719792366,0.03436773642897606,0.016921143978834152,0.9739000201225281,0.9735000133514404,0.9736999869346619,0.9721999764442444,0.08906199038028717,0.08891085535287857,0.08937279134988785
11,1.0,1.0,1.0,0.00959454569965601,0.0107265068218112,0.03279409930109978,0.9764000177383423,0.9753999710083008,0.9761999845504761,0.9757999777793884,0.07998323440551758,0.07895459979772568,0.07992565631866455
12,1.0,1.0,1.0,0.005170427728444338,0.014920646324753761,0.0031860058661550283,0.9779000282287598,0.9771000146865845,0.9768999814987183,0.9779999852180481,0.07498815655708313,0.0741179957985878,0.07578828185796738
13,1.0,1.0,1.0,0.023935960605740547,0.02434922382235527,0.0054144104942679405,0.9772999882698059,0.9763000011444092,0.9765999913215637,0.9760000109672546,0.08058328926563263,0.07725230604410172,0.07811582088470459
14,1.0,0.96875,1.0,0.0033758683130145073,0.08047065138816833,0.0045994846150279045,0.9781000018119812,0.9771999716758728,0.9768000245094299,0.9776999950408936,0.07693024724721909,0.07357839494943619,0.07480714470148087
