,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,loss_1,loss_2,loss_3,loss_4,loss_5,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,1.0,0.9983333349227905,0.9983333349227905,0.9883333444595337,0.9916666746139526,0.9950000047683716,0.9082000255584717,0.876800000667572,0.8871999979019165,0.8654999732971191,0.8845999836921692,0.8783000111579895,0.011070022359490395,0.009146175347268581,0.010467356070876122,0.04163329303264618,0.0310661680996418,0.45495760440826416,0.41615810990333557,0.5104339122772217,0.41067880392074585,0.46963685750961304
1,1.0,1.0,0.996666669845581,1.0,1.0,0.9983333349227905,0.9110999703407288,0.8937000036239624,0.8841999769210815,0.8956999778747559,0.8934000134468079,0.8989999890327454,0.0015814155340194702,0.004607011564075947,0.0017360227648168802,0.000796126201748848,0.0013900336343795061,0.4009806215763092,0.4416181743144989,0.40584778785705566,0.40250834822654724,0.4133621156215668
2,1.0,1.0,1.0,1.0,1.0,1.0,0.9120000004768372,0.8967999815940857,0.8959000110626221,0.8992999792098999,0.897599995136261,0.902899980545044,0.00030960742151364684,0.0005486092995852232,0.0003599165356718004,0.0003898377763107419,0.00039277970790863037,0.39615145325660706,0.41627803444862366,0.39985179901123047,0.40108874440193176,0.40114662051200867
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9122999906539917,0.8978000283241272,0.8974000215530396,0.9000999927520752,0.8982999920845032,0.9036999940872192,0.00031218951335176826,0.000436627771705389,0.00031402058084495366,0.00026850137510336936,0.00040447962237522006,0.3945957124233246,0.4164520502090454,0.3992287218570709,0.40010225772857666,0.40193453431129456
4,1.0,1.0,1.0,1.0,1.0,1.0,0.9124000072479248,0.8986999988555908,0.8974999785423279,0.901199996471405,0.8998000025749207,0.9046000242233276,0.00027597369626164436,0.0002115974493790418,0.00025933535653166473,0.00022881475160829723,0.0001372123952023685,0.3958987891674042,0.41612398624420166,0.4005792438983917,0.4006894528865814,0.40338054299354553
5,1.0,1.0,1.0,1.0,1.0,1.0,0.9128000140190125,0.8992000222206116,0.8980000019073486,0.9014000296592712,0.9010999798774719,0.9043999910354614,0.00018839180120266974,0.00024586939252913,0.0002962503058370203,0.00030391881591640413,0.00035124848363921046,0.3970032334327698,0.41764190793037415,0.40180209279060364,0.40135443210601807,0.40524986386299133
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9129999876022339,0.8995000123977661,0.8978999853134155,0.902400016784668,0.9010000228881836,0.9039999842643738,0.00010809992090798914,0.00018957932479679585,0.00023726120707578957,0.00019674058421514928,0.00024352131003979594,0.39911821484565735,0.4195610284805298,0.40315064787864685,0.40316447615623474,0.40767353773117065
7,1.0,1.0,1.0,1.0,1.0,1.0,0.9128999710083008,0.8999000191688538,0.8981000185012817,0.9021999835968018,0.9016000032424927,0.9042999744415283,0.000123905687360093,0.00011364139209035784,0.00014315801672637463,0.00012725271517410874,0.00016416943981312215,0.400481253862381,0.42117002606391907,0.40506312251091003,0.40477651357650757,0.40879663825035095
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9132000207901001,0.9003000259399414,0.8978000283241272,0.9021999835968018,0.9021000266075134,0.90420001745224,8.925730071496218e-05,0.0001553356705699116,0.00010210752225248143,9.122051415033638e-05,9.949933883035555e-05,0.4011162519454956,0.4229191839694977,0.40643423795700073,0.40606608986854553,0.41089656949043274
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9132999777793884,0.900600016117096,0.8977000117301941,0.9024999737739563,0.9024999737739563,0.9045000076293945,0.00011093095235992223,8.449041342828423e-05,7.526131230406463e-05,7.944751996546984e-05,7.560866652056575e-05,0.40254366397857666,0.4235530197620392,0.4080391228199005,0.40790191292762756,0.41192832589149475
