,acc_ensemble,acc_1,acc_2,acc_3,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,loss_1,loss_2,loss_3,val_loss_1,val_loss_2,val_loss_3
0,1.0,1.0,1.0,1.0,0.8952999711036682,0.8934999704360962,0.8888000249862671,0.8863000273704529,0.001455127028748393,0.0020258992444723845,0.0032299798913300037,0.39847713708877563,0.4085456132888794,0.42547762393951416
1,1.0,1.0,1.0,1.0,0.8974000215530396,0.8956999778747559,0.8932999968528748,0.8913000226020813,0.00034162262454628944,0.00035480241058394313,0.0002521440910641104,0.40425217151641846,0.41324296593666077,0.4176003932952881
2,1.0,1.0,1.0,1.0,0.8981999754905701,0.8985000252723694,0.8944000005722046,0.8925999999046326,0.00021890293282922357,0.00018422190623823553,0.0002800207876134664,0.4032454788684845,0.4147914946079254,0.41869208216667175
3,1.0,1.0,1.0,1.0,0.8988999724388123,0.8999000191688538,0.8956000208854675,0.8931999802589417,0.0002158777933800593,0.00016844659694470465,0.0001990953169297427,0.40665188431739807,0.4189375936985016,0.42242303490638733
4,1.0,1.0,1.0,1.0,0.8992999792098999,0.900600016117096,0.8956000208854675,0.8932999968528748,0.0003386143362149596,0.0001754401164362207,0.00014301756164059043,0.4092549681663513,0.4221084415912628,0.4250902831554413
5,1.0,1.0,1.0,1.0,0.8992999792098999,0.9002000093460083,0.8960999846458435,0.8937000036239624,6.055696212570183e-05,0.00010417021258035675,0.00015893933596089482,0.41210147738456726,0.42497313022613525,0.42801186442375183
6,1.0,1.0,1.0,1.0,0.9002000093460083,0.9007999897003174,0.8960000276565552,0.8938000202178955,7.142552931327373e-05,0.00011440459638834,0.00012245163088664412,0.41455259919166565,0.427566796541214,0.4305467903614044
7,1.0,1.0,1.0,1.0,0.9000999927520752,0.9004999995231628,0.8960000276565552,0.89410001039505,6.257416680455208e-05,0.00012266816338524222,6.758391828043386e-05,0.4171684682369232,0.430431991815567,0.43308842182159424
8,1.0,1.0,1.0,1.0,0.9004999995231628,0.9010000228881836,0.8960999846458435,0.8945000171661377,0.00014524297148454934,5.986094402032904e-05,6.163837679196149e-05,0.41905584931373596,0.43272051215171814,0.4350132942199707
9,1.0,1.0,1.0,1.0,0.900600016117096,0.900600016117096,0.8963000178337097,0.8946999907493591,5.930301995249465e-05,6.951193063287064e-05,0.00010253356595057994,0.42185670137405396,0.43556860089302063,0.43776631355285645
