,acc_ensemble,acc_1,acc_2,acc_3,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,loss_1,loss_2,loss_3,val_loss_1,val_loss_2,val_loss_3
0,0.9449499845504761,0.9284499883651733,0.9296500086784363,0.9301000237464905,0.9456999897956848,0.9247999787330627,0.9269000291824341,0.9358999729156494,0.19741947948932648,0.20222502946853638,0.27670684456825256,0.23665751516819,0.23672963678836823,0.21601060032844543
1,0.9563500285148621,0.9448666572570801,0.9483500123023987,0.9416333436965942,0.9564999938011169,0.9451000094413757,0.947700023651123,0.9399999976158142,0.21269991993904114,0.22127754986286163,0.21612843871116638,0.18242259323596954,0.18134033679962158,0.19755451381206512
2,0.9623500108718872,0.9533166885375977,0.9492166638374329,0.950083315372467,0.958899974822998,0.9532999992370605,0.9427000284194946,0.9492999911308289,0.25781044363975525,0.2111908346414566,0.07264405488967896,0.15950427949428558,0.18927155435085297,0.1650608628988266
3,0.9673833250999451,0.9592666625976562,0.9592999815940857,0.9579166769981384,0.9635000228881836,0.9539999961853027,0.9539999961853027,0.9585999846458435,0.28673169016838074,0.11629736423492432,0.10401856154203415,0.15325362980365753,0.15270595252513885,0.14323440194129944
4,0.9714999794960022,0.959683358669281,0.9638000130653381,0.9635166525840759,0.9657999873161316,0.954800009727478,0.9581000208854675,0.9613999724388123,0.08902504295110703,0.02620425820350647,0.10303130745887756,0.14695699512958527,0.14237217605113983,0.1319446563720703
5,0.9738666415214539,0.9637166857719421,0.9673833250999451,0.965233325958252,0.9682999849319458,0.9596999883651733,0.9589999914169312,0.9613999724388123,0.07155495136976242,0.17072895169258118,0.3207986056804657,0.1353498250246048,0.13140042126178741,0.12817129492759705
6,0.9749000072479248,0.9640833139419556,0.9670000076293945,0.9678666591644287,0.9678999781608582,0.9577000141143799,0.9603999853134155,0.9631999731063843,0.015457794070243835,0.05184809863567352,0.049311313778162,0.13437911868095398,0.13193361461162567,0.12551817297935486
7,0.9769333600997925,0.9692666530609131,0.9662666916847229,0.9710999727249146,0.9702000021934509,0.9649999737739563,0.9599000215530396,0.9664999842643738,0.021070072427392006,0.07721114903688431,0.04787718132138252,0.11732599139213562,0.13095884025096893,0.11680223047733307
8,0.9779999852180481,0.9679999947547913,0.9691500067710876,0.9698666930198669,0.9729999899864197,0.9611999988555908,0.9642999768257141,0.9660999774932861,0.03125699982047081,0.05429239198565483,0.01884881593286991,0.12260455638170242,0.1230335459113121,0.1168597936630249
9,0.9788333177566528,0.9696999788284302,0.9701166749000549,0.9707499742507935,0.9715999960899353,0.9639000296592712,0.9639000296592712,0.9667999744415283,0.0157160684466362,0.037843555212020874,0.02842671051621437,0.11818739026784897,0.11937375366687775,0.11654133349657059
