,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6
33,0.9149999999999998,0.8475000000000001,0.8325000000000001,0.8175000000000001,0.8375,0.8424999999999999,0.8200000000000001,13.164382934570312,11.588262557983398,11.515101432800293,4.735530376434326,15.875923156738281,30.836116790771484
34,0.9124999999999999,0.8399999999999999,0.8324999999999999,0.8375,0.8174999999999999,0.8399999999999999,0.7875,4.013323783874512,18.88758087158203,20.23887825012207,3.153393268585205,10.095558166503906,19.383880615234375
35,0.9075,0.8225,0.835,0.8099999999999999,0.8099999999999999,0.85,0.8375,10.301755905151367,36.21919631958008,16.129531860351562,15.360414505004883,11.131046295166016,32.197975158691406
36,0.9374999999999998,0.8399999999999999,0.8374999999999998,0.8549999999999999,0.8625,0.8225,0.835,13.940604209899902,5.306802749633789,10.716676712036133,6.718109607696533,13.768535614013672,3.408339262008667
37,0.9199999999999997,0.8300000000000001,0.8375,0.8524999999999998,0.845,0.8150000000000001,0.86,18.704294204711914,4.440044403076172,6.253819465637207,16.996383666992188,13.594608306884766,6.713672637939453
38,0.9199999999999999,0.8550000000000001,0.8375,0.8300000000000001,0.8700000000000001,0.8300000000000001,0.8300000000000001,14.321418762207031,0.0,6.786815166473389,24.1527156829834,9.24493408203125,29.958471298217773
39,0.9274999999999999,0.825,0.8574999999999999,0.85,0.8325000000000001,0.8625,0.8175000000000001,8.438328742980957,4.400721073150635,13.193436622619629,18.97067642211914,25.726619720458984,0.0
40,0.9274999999999999,0.8625,0.865,0.8575000000000002,0.8724999999999999,0.8075000000000001,0.8675,60.84376525878906,2.610994577407837,6.284409523010254,23.65870475769043,17.315656661987305,3.6989240646362305
41,0.9375,0.8700000000000001,0.8699999999999999,0.8474999999999999,0.8699999999999999,0.85,0.8550000000000001,13.640663146972656,2.517937660217285,17.957979202270508,16.874420166015625,14.687432289123535,16.31821060180664
42,0.9399999999999998,0.8724999999999999,0.9049999999999999,0.8724999999999999,0.8849999999999998,0.8699999999999999,0.8725000000000002,2.638108730316162,0.0,16.711990356445312,1.6487197875976562,27.676809310913086,0.16939806938171387
43,0.9424999999999999,0.8675,0.9,0.8825000000000001,0.8825,0.8575000000000002,0.8975,1.7301888465881348,4.031338691711426,7.071349143981934,0.898430585861206,6.390347480773926,6.650958061218262
44,0.9424999999999997,0.8774999999999998,0.9125000000000002,0.8899999999999999,0.8749999999999998,0.8550000000000001,0.915,0.42386913299560547,2.049769163131714,1.482654094696045,3.9255144596099854,12.110023498535156,5.66769552230835
45,0.945,0.8725000000000002,0.9124999999999999,0.8825,0.8975,0.8825,0.9,4.639694690704346,0.8902029991149902,10.062867164611816,2.6228156089782715,7.738167762756348,0.3783414363861084
46,0.9424999999999999,0.8875,0.905,0.8999999999999998,0.8975,0.8800000000000001,0.9149999999999998,3.3470778465270996,0.3060133457183838,1.7937915325164795,1.317897081375122,11.55626106262207,7.041220664978027
47,0.9424999999999999,0.8825000000000001,0.905,0.8974999999999997,0.9024999999999999,0.8724999999999999,0.9149999999999998,15.893308639526367,0.18430352210998535,1.8591578006744385,3.9030163288116455,12.386951446533203,1.128624677658081
48,0.9424999999999999,0.8775000000000001,0.905,0.8925000000000001,0.9,0.8724999999999999,0.9075,0.14684844017028809,0.023195505142211914,0.7757408618927002,2.8917295932769775,5.409419059753418,2.7004892826080322
49,0.9449999999999997,0.8750000000000002,0.905,0.8975,0.9,0.86,0.9125,4.660858631134033,1.6626982688903809,1.7546355724334717,6.964105606079102,8.607585906982422,0.0
50,0.9424999999999997,0.885,0.9074999999999998,0.885,0.9075,0.8699999999999999,0.9075,20.026641845703125,7.652804374694824,8.932250022888184,9.027091026306152,12.974446296691895,0.025927305221557617
51,0.9449999999999997,0.8800000000000001,0.9149999999999998,0.8899999999999999,0.9024999999999999,0.8674999999999999,0.9075,1.06192946434021,9.47253131866455,2.6845250129699707,6.1968889236450195,0.08840489387512207,1.1921555995941162
52,0.9449999999999997,0.8775000000000001,0.9099999999999998,0.89,0.8999999999999998,0.865,0.9099999999999999,0.0,9.703332901000977,3.9003536701202393,0.8092896938323975,1.502495288848877,0.0
53,0.9424999999999999,0.8775000000000001,0.9149999999999998,0.8924999999999998,0.8999999999999998,0.8625,0.9099999999999999,7.552124500274658,0.4680595397949219,0.025231599807739258,5.4909281730651855,0.02942824363708496,3.1139023303985596
54,0.9449999999999997,0.8775000000000001,0.9125,0.8949999999999999,0.9,0.8625,0.9099999999999999,8.050786972045898,12.126029968261719,0.9896931648254395,1.9898715019226074,3.5984201431274414,2.6431467533111572
55,0.9424999999999999,0.8775000000000001,0.9125,0.8975,0.9025000000000001,0.8625,0.9099999999999999,1.9184550046920776,14.250009536743164,3.8107683658599854,1.9951481819152832,0.17115449905395508,1.5446712970733643
56,0.9449999999999997,0.8775000000000001,0.9099999999999999,0.8999999999999998,0.9,0.8625,0.9099999999999999,1.8813960552215576,2.0274038314819336,5.066155433654785,0.568232536315918,6.960330963134766,1.8487606048583984
57,0.9449999999999997,0.8825000000000001,0.9125,0.8999999999999998,0.9025000000000001,0.865,0.9125,6.3837151527404785,5.217564105987549,5.236969947814941,3.948655843734741,10.43215560913086,1.9299068450927734
58,0.9449999999999997,0.8800000000000001,0.9125,0.8974999999999997,0.9049999999999999,0.865,0.9125,1.959451675415039,12.481433868408203,9.349312782287598,0.040129899978637695,0.17696785926818848,12.501577377319336
59,0.9449999999999997,0.8825000000000001,0.9125,0.8974999999999997,0.9025000000000001,0.865,0.9099999999999999,0.5557365417480469,1.9681460857391357,0.9938392639160156,6.6037797927856445,7.733781337738037,16.151466369628906
