,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.84375,1.0,1.0,0.1875,1.560091495513916,1.475958228111267,1.486216425895691,0.9678500294685364,0.9716500043869019,0.9693499803543091,0.9818000197410583,0.9593313336372375,0.9272878766059875,0.9535688757896423
1,0.9375,0.96875,0.90625,0.34375,1.0127485990524292,1.0738990306854248,1.188215732574463,0.9829999804496765,0.9815499782562256,0.9823499917984009,0.9858999848365784,0.5058597922325134,0.4954388737678528,0.4938183128833771
2,0.96875,0.96875,1.0,0.375,0.8923981189727783,0.6355080604553223,0.7904852032661438,0.984749972820282,0.9833499789237976,0.9843000173568726,0.9867500066757202,0.35118338465690613,0.3520262837409973,0.3537696301937103
3,1.0,1.0,1.0,0.21875,0.8468784689903259,0.4030419886112213,0.43725186586380005,0.9850999712944031,0.9837999939918518,0.9843999743461609,0.9864000082015991,0.2872634530067444,0.2897598445415497,0.29299718141555786
4,1.0,1.0,1.0,0.3125,0.45124709606170654,0.5217058658599854,0.45678913593292236,0.9846000075340271,0.9838500022888184,0.9846500158309937,0.986549973487854,0.25670126080513,0.2579839527606964,0.25854068994522095
5,1.0,1.0,1.0,0.40625,0.30624452233314514,0.3020554780960083,0.2736243009567261,0.9843999743461609,0.9836500287055969,0.9848499894142151,0.9861999750137329,0.23988249897956848,0.24073515832424164,0.24041728675365448
6,1.0,1.0,1.0,0.5,0.316925048828125,0.23028317093849182,0.3302798271179199,0.9846500158309937,0.9839000105857849,0.9850000143051147,0.9862499833106995,0.22772274911403656,0.22806693613529205,0.2292623519897461
7,1.0,1.0,1.0,0.40625,0.22118793427944183,0.2690703868865967,0.2152915596961975,0.9840999841690063,0.9838500022888184,0.9848499894142151,0.9855999946594238,0.2209169864654541,0.2204282283782959,0.22329643368721008
8,1.0,1.0,1.0,0.28125,0.21585653722286224,0.2660239636898041,0.2705788314342499,0.9842000007629395,0.9838500022888184,0.9850000143051147,0.9857500195503235,0.2164922058582306,0.2165447324514389,0.21749238669872284
9,1.0,1.0,1.0,0.21875,0.24918968975543976,0.22035099565982819,0.13239559531211853,0.9841499924659729,0.9834499955177307,0.984000027179718,0.9853000044822693,0.2123536914587021,0.21197187900543213,0.21359390020370483
10,1.0,1.0,1.0,0.4375,0.12263509631156921,0.18462446331977844,0.17674171924591064,0.9840499758720398,0.9835500121116638,0.9840999841690063,0.9852499961853027,0.2078636735677719,0.20718666911125183,0.20898720622062683
11,1.0,1.0,1.0,0.4375,0.13679593801498413,0.1514330804347992,0.4069277048110962,0.9842000007629395,0.9835500121116638,0.9840499758720398,0.9855499863624573,0.2038983553647995,0.203932985663414,0.20551195740699768
12,1.0,1.0,1.0,0.375,0.16186299920082092,0.15633726119995117,0.1525644063949585,0.9838500022888184,0.9832000136375427,0.9839000105857849,0.9856500029563904,0.20046818256378174,0.2016672044992447,0.20258264243602753
13,1.0,1.0,1.0,0.40625,0.08632788807153702,0.06423468142747879,0.07992430031299591,0.984000027179718,0.9834499955177307,0.9844499826431274,0.9857500195503235,0.19800230860710144,0.19761672616004944,0.19898681342601776
14,1.0,1.0,1.0,0.25,0.09792203456163406,0.08055013418197632,0.23152805864810944,0.9835500121116638,0.9834499955177307,0.9839500188827515,0.9855999946594238,0.1966661512851715,0.19595342874526978,0.1980084925889969
