,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.9375,0.875,0.46875,0.21204084157943726,0.3206469416618347,0.9236999750137329,0.9236999750137329,0.9236999750137329,0.25664961338043213,0.25664961338043213
1,0.90625,0.96875,0.59375,0.18676315248012543,0.14180496335029602,0.932699978351593,0.932699978351593,0.932699978351593,0.21700923144817352,0.21700923144817352
2,1.0,1.0,0.5625,0.04613340273499489,0.07516351342201233,0.9337999820709229,0.9337999820709229,0.9337999820709229,0.20870178937911987,0.20870178937911987
3,1.0,1.0,0.59375,0.02144365757703781,0.06886764615774155,0.9419000148773193,0.9419000148773193,0.9419000148773193,0.19148369133472443,0.19148369133472443
4,1.0,1.0,0.5625,0.01456555724143982,0.012424172833561897,0.9424999952316284,0.9424999952316284,0.9424999952316284,0.19113464653491974,0.19113464653491974
5,1.0,1.0,0.46875,0.01118092704564333,0.01691369339823723,0.9413999915122986,0.9413999915122986,0.9413999915122986,0.19003911316394806,0.19003911316394806
6,1.0,1.0,0.28125,0.009704258292913437,0.018879149109125137,0.9447000026702881,0.9447000026702881,0.9447000026702881,0.18741005659103394,0.18741005659103394
7,1.0,0.9375,0.4375,0.010252734646201134,0.0674167275428772,0.9435999989509583,0.9435999989509583,0.9435999989509583,0.1897553950548172,0.1897553950548172
8,1.0,0.90625,0.65625,0.010749583132565022,0.22708530724048615,0.9416000247001648,0.9416000247001648,0.9416000247001648,0.19859130680561066,0.19859130680561066
9,0.96875,1.0,0.46875,0.08063073456287384,0.006207766477018595,0.946399986743927,0.946399986743927,0.946399986743927,0.18416538834571838,0.18416538834571838
10,1.0,1.0,0.6875,0.005170885007828474,0.003182449843734503,0.9456999897956848,0.9456999897956848,0.9456999897956848,0.18984133005142212,0.18984133005142212
11,1.0,1.0,0.46875,0.0032200829591602087,0.01106884703040123,0.9447000026702881,0.9447000026702881,0.9447000026702881,0.18742629885673523,0.18742629885673523
12,0.96875,1.0,0.375,0.05751306936144829,0.0023681875318288803,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.19157473742961884,0.19157473742961884
13,1.0,1.0,0.625,0.002651680028066039,0.014664492569863796,0.9480999708175659,0.9480999708175659,0.9480999708175659,0.1864750236272812,0.1864750236272812
14,1.0,1.0,0.5,0.001005522906780243,0.0018556559225544333,0.9473000168800354,0.9473000168800354,0.9473000168800354,0.1887003630399704,0.1887003630399704
