,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8944000005722046,0.8944000005722046,0.8944000005722046,0.8944000005722046,0.8944000005722046,0.8944000005722046,0.8944000005722046,0.0013556936755776405,0.0027801000978797674,0.0021837842650711536,0.0021411599591374397,0.0024831965565681458,0.0024502964224666357,0.35810017585754395,0.35810017585754395,0.35810017585754395,0.35810017585754395,0.35810017585754395,0.35810017585754395
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8955000042915344,0.8955000042915344,0.8955000042915344,0.8955000042915344,0.8955000042915344,0.8955000042915344,0.8955000042915344,0.0007449300028383732,0.000773028121329844,0.0007792775286361575,0.0006332880584523082,0.000661905447486788,0.00044289801735430956,0.3647180497646332,0.3647180497646332,0.3647180497646332,0.3647180497646332,0.3647180497646332,0.3647180497646332
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8960000276565552,0.8960000276565552,0.8960000276565552,0.8960000276565552,0.8960000276565552,0.8960000276565552,0.8960000276565552,0.000448009988758713,0.00044685517787002027,0.00031870350358076394,0.0006156011950224638,0.0005339767085388303,0.0007098788628354669,0.3701850175857544,0.3701850175857544,0.3701850175857544,0.3701850175857544,0.3701850175857544,0.3701850175857544
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8966000080108643,0.8966000080108643,0.8966000080108643,0.8966000080108643,0.8966000080108643,0.8966000080108643,0.8966000080108643,0.00023344946384895593,0.00030439000693149865,0.0002985936007462442,0.0002862120163626969,0.0003643712552729994,0.00022354074462782592,0.3756541311740875,0.3756541311740875,0.3756541311740875,0.3756541311740875,0.3756541311740875,0.3756541311740875
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8967000246047974,0.8967000246047974,0.8967000246047974,0.8967000246047974,0.8967000246047974,0.8967000246047974,0.8967000246047974,0.00016346608754247427,0.00017682428006082773,0.00026061106473207474,0.00023579254047945142,0.000275046651950106,0.00023847898410167545,0.3810546398162842,0.3810546398162842,0.3810546398162842,0.3810546398162842,0.3810546398162842,0.3810546398162842
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8970000147819519,0.8970000147819519,0.8970000147819519,0.8970000147819519,0.8970000147819519,0.8970000147819519,0.8970000147819519,0.00022639273083768785,0.00011523878492880613,0.00019738031551241875,0.00018808232562150806,0.00017838904750533402,0.0001716283877613023,0.38506364822387695,0.38506364822387695,0.38506364822387695,0.38506364822387695,0.38506364822387695,0.38506364822387695
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.00012486500781960785,0.00015989650273695588,0.00022512816940434277,0.0002037271624431014,0.00017715459398459643,0.00013319216668605804,0.38881024718284607,0.38881024718284607,0.38881024718284607,0.38881024718284607,0.38881024718284607,0.38881024718284607
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.0001155057834694162,7.519629434682429e-05,0.0001155057834694162,0.00010436077718622983,0.00010594492050586268,0.00012350255565252155,0.3925091028213501,0.3925091028213501,0.3925091028213501,0.3925091028213501,0.3925091028213501,0.3925091028213501
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8960999846458435,0.8960999846458435,0.8960999846458435,0.8960999846458435,0.8960999846458435,0.8960999846458435,0.8960999846458435,9.118381422013044e-05,7.656027446500957e-05,7.986783748492599e-05,6.354904326144606e-05,7.088689017109573e-05,8.39797721710056e-05,0.39602547883987427,0.39602547883987427,0.39602547883987427,0.39602547883987427,0.39602547883987427,0.39602547883987427
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.8963000178337097,0.00010773594840429723,9.515386773273349e-05,0.00011071922199334949,8.792860899120569e-05,6.58515200484544e-05,7.11747125023976e-05,0.39873820543289185,0.39873820543289185,0.39873820543289185,0.39873820543289185,0.39873820543289185,0.39873820543289185
