,train_acc_1,train_acc_2,train_loss_1,train_loss_2,val_acc,val_acc_1,val_acc_2,val_loss_1,val_loss_2
0,0.96875,0.84375,0.6058400273323059,0.8252975344657898,0.8978999853134155,0.8906000256538391,0.8946999907493591,0.7067700624465942,0.6938218474388123
1,0.90625,0.96875,0.4752148985862732,0.5441642999649048,0.919700026512146,0.9144999980926514,0.9172000288963318,0.5440207123756409,0.5369955897331238
2,0.9375,0.96875,0.5051560401916504,0.3585045635700226,0.9286999702453613,0.9286999702453613,0.9259999990463257,0.45341795682907104,0.45106860995292664
3,0.90625,0.9375,0.4800334870815277,0.3349570035934448,0.9347000122070312,0.9323999881744385,0.9308000206947327,0.3964441418647766,0.3994525372982025
4,0.96875,1.0,0.36635369062423706,0.22985923290252686,0.9355999827384949,0.9330999851226807,0.9319000244140625,0.35718533396720886,0.3541504144668579
5,0.90625,0.96875,0.5121362209320068,0.2858973741531372,0.9384999871253967,0.9358999729156494,0.9380000233650208,0.31974950432777405,0.3195337653160095
6,0.96875,1.0,0.3831760287284851,0.2014388144016266,0.9429000020027161,0.9398000240325928,0.9412999749183655,0.3008568286895752,0.2969081699848175
7,0.96875,1.0,0.16071200370788574,0.12670445442199707,0.9433000087738037,0.940500020980835,0.9402999877929688,0.2828731834888458,0.28393444418907166
8,1.0,1.0,0.17032121121883392,0.13579018414020538,0.9466000199317932,0.9458000063896179,0.9435999989509583,0.26218757033348083,0.2655593752861023
9,0.96875,0.96875,0.18442402780056,0.20590996742248535,0.9444000124931335,0.9434999823570251,0.9427000284194946,0.2552940845489502,0.2604140639305115
10,1.0,1.0,0.11082826554775238,0.0924805998802185,0.9473999738693237,0.9445000290870667,0.944599986076355,0.24592743813991547,0.24783065915107727
11,1.0,0.96875,0.1460191011428833,0.20623241364955902,0.948199987411499,0.9460999965667725,0.945900022983551,0.23235541582107544,0.23006020486354828
12,1.0,0.96875,0.11642236262559891,0.1550169140100479,0.9476000070571899,0.9453999996185303,0.9466999769210815,0.2308368682861328,0.22853314876556396
13,1.0,1.0,0.09342368692159653,0.05992003157734871,0.9477999806404114,0.9460999965667725,0.9470000267028809,0.22609451413154602,0.22380366921424866
14,1.0,1.0,0.06833361089229584,0.07010211795568466,0.9467999935150146,0.9452000260353088,0.946399986743927,0.22511108219623566,0.21817553043365479
15,1.0,1.0,0.10399983823299408,0.07968735694885254,0.9488999843597412,0.9465000033378601,0.9474999904632568,0.2135319858789444,0.20819681882858276
16,0.96875,1.0,0.28443387150764465,0.06422168761491776,0.9487000107765198,0.9472000002861023,0.9477999806404114,0.2085217833518982,0.20994043350219727
17,1.0,1.0,0.09652487933635712,0.06458181142807007,0.9488999843597412,0.9472000002861023,0.9488000273704529,0.20634356141090393,0.20024771988391876
18,0.96875,0.96875,0.1458488404750824,0.17907553911209106,0.9470000267028809,0.946399986743927,0.9470999836921692,0.20553359389305115,0.2023051679134369
19,1.0,1.0,0.11069047451019287,0.03103713132441044,0.9487000107765198,0.9480000138282776,0.949400007724762,0.19807539880275726,0.19560226798057556
20,1.0,1.0,0.041990891098976135,0.045656874775886536,0.9488000273704529,0.9466000199317932,0.9490000009536743,0.20693525671958923,0.1985793262720108
21,0.875,0.96875,0.3908619284629822,0.246110200881958,0.9490000009536743,0.9474999904632568,0.9484000205993652,0.20044061541557312,0.19224515557289124
22,1.0,1.0,0.031230246648192406,0.05873747169971466,0.949999988079071,0.9495999813079834,0.9480000138282776,0.19102956354618073,0.1876666247844696
23,1.0,1.0,0.022339295595884323,0.05243168771266937,0.9488999843597412,0.9492999911308289,0.9480999708175659,0.19182199239730835,0.19053693115711212
24,1.0,1.0,0.061544857919216156,0.04676008224487305,0.9496999979019165,0.9496999979019165,0.9478999972343445,0.18752141296863556,0.18621826171875
25,1.0,1.0,0.028378091752529144,0.09442490339279175,0.9498000144958496,0.9491999745368958,0.9487000107765198,0.18567924201488495,0.18143831193447113
26,1.0,1.0,0.024549249559640884,0.030641570687294006,0.9506999850273132,0.9502000212669373,0.949999988079071,0.18398751318454742,0.18160831928253174
27,1.0,1.0,0.03760877624154091,0.03275984153151512,0.9503999948501587,0.9498000144958496,0.9495999813079834,0.18466365337371826,0.18123987317085266
28,0.96875,1.0,0.09191195666790009,0.021465931087732315,0.9498000144958496,0.9501000046730042,0.9487000107765198,0.18281693756580353,0.18128904700279236
29,1.0,1.0,0.027248675003647804,0.05339408293366432,0.9495999813079834,0.9484000205993652,0.9477999806404114,0.18604052066802979,0.1842813938856125
