,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.78125,0.84375,0.84375,0.5,0.44617313146591187,0.4433739483356476,0.490708589553833,0.914900004863739,0.9050999879837036,0.9056000113487244,0.9276000261306763,0.28060203790664673,0.30569565296173096,0.31398454308509827
1,0.875,0.875,0.96875,0.5,0.31790390610694885,0.35779082775115967,0.06753537058830261,0.9226999878883362,0.9186000227928162,0.9246000051498413,0.9315999746322632,0.2548985481262207,0.2650347054004669,0.24552719295024872
2,0.96875,0.875,0.90625,0.375,0.10319489240646362,0.6151254177093506,0.20914632081985474,0.9312999844551086,0.9277999997138977,0.9351999759674072,0.9387999773025513,0.21896445751190186,0.23103857040405273,0.21254223585128784
3,0.96875,1.0,1.0,0.375,0.06285978853702545,0.024092603474855423,0.05586280673742294,0.9394000172615051,0.9312000274658203,0.9366999864578247,0.9435999989509583,0.2022455632686615,0.22491244971752167,0.2095760554075241
4,1.0,1.0,1.0,0.5,0.01174507662653923,0.023553621023893356,0.04908427223563194,0.9416000247001648,0.9408000111579895,0.9430999755859375,0.9483000040054321,0.18907304108142853,0.19939103722572327,0.19577327370643616
5,1.0,1.0,1.0,0.375,0.019828442484140396,0.053240567445755005,0.014670062810182571,0.9408000111579895,0.942300021648407,0.9441999793052673,0.9476000070571899,0.1941564679145813,0.19126880168914795,0.18504413962364197
6,1.0,1.0,1.0,0.5,0.009041178971529007,0.03061348758637905,0.024052541702985764,0.9429000020027161,0.9398999810218811,0.9398999810218811,0.9455000162124634,0.18221813440322876,0.19545789062976837,0.19969387352466583
7,1.0,1.0,1.0,0.4375,0.012200252152979374,0.01336766593158245,0.013444067910313606,0.9456999897956848,0.9441999793052673,0.9375,0.9473000168800354,0.1766563504934311,0.18346670269966125,0.19821391999721527
8,0.9375,1.0,1.0,0.375,0.14320015907287598,0.00713885435834527,0.008172623813152313,0.9448999762535095,0.9449999928474426,0.9448000192642212,0.947700023651123,0.18265941739082336,0.18269121646881104,0.18917863070964813
9,0.9375,1.0,1.0,0.46875,0.26585179567337036,0.00745028629899025,0.011395148932933807,0.9480999708175659,0.9452000260353088,0.9488000273704529,0.951200008392334,0.17721125483512878,0.18428398668766022,0.18191565573215485
10,1.0,1.0,1.0,0.46875,0.006479582749307156,0.004498233553022146,0.004357009194791317,0.947700023651123,0.9465000033378601,0.9483000040054321,0.9495000243186951,0.17935916781425476,0.17724713683128357,0.1801915466785431
11,1.0,1.0,1.0,0.5625,0.004295808263123035,0.01538928970694542,0.004897060804069042,0.9442999958992004,0.9470000267028809,0.9491999745368958,0.9503999948501587,0.19090335071086884,0.17779259383678436,0.178044855594635
12,1.0,1.0,1.0,0.3125,0.009691953659057617,0.0038613565266132355,0.009891285561025143,0.9477999806404114,0.9470000267028809,0.949400007724762,0.9501000046730042,0.18010766804218292,0.18197469413280487,0.17759791016578674
13,1.0,1.0,1.0,0.375,0.0013837988954037428,0.008769141510128975,0.008221114985644817,0.9488000273704529,0.9476000070571899,0.9465000033378601,0.9506000280380249,0.18037930130958557,0.17991779744625092,0.18737845122814178
14,1.0,1.0,1.0,0.46875,0.01791810616850853,0.00627891905605793,0.004693232011049986,0.945900022983551,0.9491999745368958,0.9495000243186951,0.9503999948501587,0.1969534009695053,0.17720426619052887,0.1818317472934723
