,acc_1,acc_2,acc_3,acc_ensemble,loss_1,loss_2,loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.9094833135604858,0.9153000116348267,0.9044666886329651,0.925166666507721,0.40729886293411255,0.1260356903076172,0.14435026049613953,0.9140999913215637,0.9139999747276306,0.9063000082969666,0.9264000058174133,0.2816918194293976,0.28908488154411316,0.300715833902359
1,0.9250500202178955,0.927383303642273,0.9244166612625122,0.9373999834060669,0.1983926147222519,0.14710354804992676,0.1304684281349182,0.9269999861717224,0.9257000088691711,0.9251000285148621,0.9365000128746033,0.2513253390789032,0.2481921911239624,0.2416413277387619
2,0.9313833117485046,0.9326000213623047,0.9368833303451538,0.9400333166122437,0.29135754704475403,0.1520369052886963,0.11857078969478607,0.9280999898910522,0.930400013923645,0.9354000091552734,0.9383000135421753,0.23276670277118683,0.22731316089630127,0.2082052230834961
3,0.9388999938964844,0.9380833506584167,0.939716637134552,0.9461833238601685,0.019958076998591423,0.14050599932670593,0.024947337806224823,0.9366000294685364,0.930899977684021,0.9355000257492065,0.9412999749183655,0.20456992089748383,0.2195103019475937,0.20667582750320435
4,0.9406333565711975,0.9428333044052124,0.9429833292961121,0.9467499852180481,0.16216866672039032,0.024132246151566505,0.06612353771924973,0.9381999969482422,0.9398000240325928,0.9412000179290771,0.9455000162124634,0.1991896629333496,0.19377629458904266,0.18827880918979645
5,0.9450833201408386,0.9388333559036255,0.9457166790962219,0.9479166865348816,0.041901975870132446,0.10380711406469345,0.02165178209543228,0.9427000284194946,0.935699999332428,0.9430000185966492,0.9452999830245972,0.19097723066806793,0.20634716749191284,0.18643918633460999
6,0.9442333579063416,0.9457499980926514,0.9453999996185303,0.9488166570663452,0.02577802911400795,0.03336593881249428,0.04374125599861145,0.9404000043869019,0.9398999810218811,0.9434000253677368,0.9469000101089478,0.19606362283229828,0.19568505883216858,0.18721362948417664
7,0.9476500153541565,0.9399666786193848,0.949150025844574,0.949999988079071,0.017483504489064217,0.03476545214653015,0.008165799081325531,0.9466000199317932,0.9372000098228455,0.9466999769210815,0.9476000070571899,0.1806100308895111,0.20385225117206573,0.17797818779945374
8,0.9476833343505859,0.9501166939735413,0.9496833086013794,0.9523666501045227,0.0133800208568573,0.06715747714042664,0.17305095493793488,0.9466999769210815,0.9447000026702881,0.9473000168800354,0.948199987411499,0.1819048821926117,0.18190079927444458,0.17821893095970154
9,0.9474499821662903,0.9497833251953125,0.9466333389282227,0.9516500234603882,0.008384602144360542,0.01644851639866829,0.009661462157964706,0.9426000118255615,0.9447000026702881,0.9456999897956848,0.9474999904632568,0.1847524344921112,0.18075956404209137,0.18685059249401093
10,0.9497500061988831,0.951533317565918,0.9504333138465881,0.9528166651725769,0.005113885272294283,0.005417782347649336,0.03010658547282219,0.945900022983551,0.9473999738693237,0.9430000185966492,0.9496999979019165,0.17971128225326538,0.1821897178888321,0.18757173418998718
11,0.9492499828338623,0.95128333568573,0.9514666795730591,0.9521999955177307,0.002383565530180931,0.005223771557211876,0.1322336047887802,0.9470000267028809,0.9477999806404114,0.9490000009536743,0.9496999979019165,0.18130263686180115,0.1787922978401184,0.17548732459545135
12,0.9503499865531921,0.9517999887466431,0.9531333446502686,0.953416645526886,0.005680094473063946,0.003700047731399536,0.008867048658430576,0.9470999836921692,0.9484000205993652,0.9488000273704529,0.9488000273704529,0.18403542041778564,0.18193736672401428,0.17429913580417633
13,0.9507166743278503,0.9530666470527649,0.9508833289146423,0.9532666802406311,0.0029099020175635815,0.001633268897421658,0.004911129362881184,0.9474999904632568,0.9491000175476074,0.9466999769210815,0.9495999813079834,0.18243229389190674,0.17898735404014587,0.1857147514820099
14,0.9508000016212463,0.9517499804496765,0.9524166584014893,0.953000009059906,0.0017393077723681927,0.001938098343089223,0.004830219782888889,0.9473000168800354,0.949400007724762,0.9477999806404114,0.9495999813079834,0.1830795705318451,0.18027746677398682,0.17868132889270782
