,acc_ensemble,acc_1,acc_2,acc_3,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,loss_1,loss_2,loss_3,val_loss_1,val_loss_2,val_loss_3
0,1.0,1.0,1.0,1.0,0.8967999815940857,0.894599974155426,0.8949000239372253,0.8937000036239624,0.010129187256097794,0.006809861399233341,0.009302016347646713,0.3619249165058136,0.35983729362487793,0.3634380102157593
1,1.0,1.0,1.0,1.0,0.8967999815940857,0.8953999876976013,0.8960999846458435,0.8960000276565552,0.0034290319308638573,0.0032241749577224255,0.002540377900004387,0.3721248209476471,0.36958256363868713,0.36933842301368713
2,1.0,1.0,1.0,1.0,0.8968999981880188,0.8950999975204468,0.8960999846458435,0.8959000110626221,0.0013867663219571114,0.0022919313050806522,0.0018696080660447478,0.3809041976928711,0.3795960247516632,0.3790164589881897
3,1.0,1.0,1.0,1.0,0.8963000178337097,0.8944000005722046,0.8959000110626221,0.8956000208854675,0.0013386618811637163,0.0013153678737580776,0.0012748639564961195,0.3884560465812683,0.3873860836029053,0.38669559359550476
4,1.0,1.0,1.0,1.0,0.8960999846458435,0.8948000073432922,0.8956000208854675,0.8956999778747559,0.0011291197733953595,0.0006068057846277952,0.0009047015337273479,0.3933846056461334,0.39190059900283813,0.3919884264469147
5,1.0,1.0,1.0,1.0,0.8956000208854675,0.894599974155426,0.8955000042915344,0.8950999975204468,0.0005387838464230299,0.0009447140619158745,0.0007913779700174928,0.39897483587265015,0.39746126532554626,0.39762938022613525
6,1.0,1.0,1.0,1.0,0.8956000208854675,0.894599974155426,0.8952000141143799,0.8945000171661377,0.0005295976297929883,0.0003174445009790361,0.00030455374508164823,0.40372276306152344,0.40239211916923523,0.40264612436294556
7,1.0,1.0,1.0,1.0,0.8955000042915344,0.8942999839782715,0.8946999907493591,0.894599974155426,0.0002901850384660065,0.00042510288767516613,0.00043920049211010337,0.4085116982460022,0.40729820728302,0.40749675035476685
8,1.0,1.0,1.0,1.0,0.8953999876976013,0.89410001039505,0.8944000005722046,0.8938000202178955,0.00024580623721703887,0.0002621603198349476,0.00036566233029589057,0.41325780749320984,0.411915123462677,0.41216298937797546
9,1.0,1.0,1.0,1.0,0.8946999907493591,0.8934999704360962,0.8945000171661377,0.8934999704360962,0.00016867107478901744,0.00023665718617849052,0.00026571270427666605,0.4173154830932617,0.41598886251449585,0.416386216878891
