,train_acc,train_loss,val_acc,val_loss
0,0.96875,0.9530065059661865,0.984000027179718,0.7991922497749329
1,1.0,0.5706156492233276,0.9857500195503235,0.5742829442024231
2,0.96875,0.5992214679718018,0.9854999780654907,0.4706699550151825
3,1.0,0.35483086109161377,0.9854999780654907,0.4157103896141052
4,1.0,0.5246219635009766,0.9857500195503235,0.3797307312488556
5,1.0,0.285105437040329,0.9854999780654907,0.35342103242874146
6,1.0,0.428693950176239,0.9860000014305115,0.33184099197387695
7,1.0,0.373185396194458,0.9860000014305115,0.3139920234680176
8,1.0,0.27184993028640747,0.9860000014305115,0.2987295389175415
9,0.96875,0.3039613962173462,0.9865000247955322,0.2821146249771118
10,1.0,0.14033040404319763,0.9867500066757202,0.2747592628002167
11,1.0,0.14606817066669464,0.9867500066757202,0.2557668387889862
12,1.0,0.1440686285495758,0.9865000247955322,0.2418733537197113
13,1.0,0.11440391838550568,0.9860000014305115,0.23046866059303284
14,0.96875,0.20633628964424133,0.9862499833106995,0.2167585790157318
