,train_loss,val_loss,train_acc,val_acc
0,0.6888093948364258,0.6296940445899963,0.90625,0.9197999835014343
1,0.6610661745071411,0.5166410207748413,0.9375,0.9355999827384949
2,0.5125701427459717,0.4547284245491028,0.96875,0.9375
3,0.41225993633270264,0.4003443717956543,1.0,0.9442999958992004
4,0.3366019129753113,0.3732546269893646,0.9375,0.9442999958992004
5,0.41864442825317383,0.3289050757884979,0.96875,0.949400007724762
6,0.2291896939277649,0.29547756910324097,1.0,0.9526000022888184
7,0.5162994265556335,0.2752019464969635,0.875,0.9531999826431274
8,0.1249425858259201,0.2632615864276886,1.0,0.9549999833106995
9,0.5742844343185425,0.2517997920513153,0.90625,0.9534000158309937
