,train_acc,train_loss,val_acc,val_loss
0,0.875,0.3464164137840271,0.9222999811172485,0.2698991298675537
1,1.0,0.09383171796798706,0.9301000237464905,0.2227332592010498
2,1.0,0.032158445566892624,0.9409000277519226,0.19218754768371582
3,1.0,0.0559767410159111,0.9412000179290771,0.18483540415763855
4,1.0,0.0872974544763565,0.9437999725341797,0.18171679973602295
5,0.96875,0.08328546583652496,0.9453999996185303,0.17801429331302643
6,1.0,0.01728777028620243,0.9488000273704529,0.16312801837921143
7,1.0,0.005669116973876953,0.9502000212669373,0.16032926738262177
8,0.96875,0.08754989504814148,0.9440000057220459,0.18801473081111908
9,0.96875,0.2993086576461792,0.9491000175476074,0.1705828309059143
10,0.96875,0.04829102009534836,0.9473999738693237,0.17897577583789825
11,1.0,0.028879372403025627,0.9492999911308289,0.1715998351573944
12,1.0,0.022258957847952843,0.9460999965667725,0.19076289236545563
13,1.0,0.0024390046019107103,0.9526000022888184,0.16338570415973663
14,1.0,0.0016730186762288213,0.9527000188827515,0.16579684615135193
