,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.90625,1.0,0.9375,0.875,0.25,0.3462170660495758,0.07860073447227478,0.1850016862154007,0.4276794493198395,0.9132000207901001,0.9194999933242798,0.9229000210762024,0.9230999946594238,0.930400013923645,0.28206294775009155,0.2671735882759094,0.2508835792541504,0.24886982142925262
1,1.0,1.0,1.0,0.9375,0.34375,0.033368661999702454,0.04001137241721153,0.03534990921616554,0.11598868668079376,0.9336000084877014,0.9366000294685364,0.933899998664856,0.9333999752998352,0.9406999945640564,0.21800856292247772,0.2119356393814087,0.2182190716266632,0.21562489867210388
2,0.96875,1.0,1.0,1.0,0.375,0.09224405884742737,0.024208813905715942,0.02000388875603676,0.03136269375681877,0.939300000667572,0.9370999932289124,0.9362999796867371,0.9390000104904175,0.9429000020027161,0.20394927263259888,0.21025502681732178,0.2017388641834259,0.200778529047966
3,1.0,1.0,1.0,1.0,0.34375,0.020614858716726303,0.018659930676221848,0.05467715486884117,0.0238195788115263,0.9434000253677368,0.9416999816894531,0.9442999958992004,0.9394999742507935,0.9452000260353088,0.20044821500778198,0.19666826725006104,0.18866226077079773,0.20233890414237976
4,1.0,1.0,1.0,1.0,0.21875,0.02711150422692299,0.006510220468044281,0.012187767773866653,0.010249019600450993,0.9458000063896179,0.9437999725341797,0.9448000192642212,0.9447000026702881,0.9490000009536743,0.18666084110736847,0.18681129813194275,0.18440116941928864,0.18265685439109802
5,1.0,1.0,0.96875,0.90625,0.28125,0.015506861731410027,0.016077285632491112,0.16506792604923248,0.42333677411079407,0.9465000033378601,0.9453999996185303,0.9463000297546387,0.9448999762535095,0.9469000101089478,0.19439631700515747,0.19081281125545502,0.18709905445575714,0.1956603080034256
6,1.0,1.0,1.0,1.0,0.25,0.009583579376339912,0.008394327946007252,0.006670065224170685,0.008694244548678398,0.9480999708175659,0.9458000063896179,0.9483000040054321,0.9459999799728394,0.9485999941825867,0.1877913624048233,0.18290366232395172,0.18357086181640625,0.18939363956451416
7,0.96875,1.0,0.96875,1.0,0.28125,0.2643941044807434,0.0036136533599346876,0.09842850267887115,0.005912210792303085,0.9449999928474426,0.945900022983551,0.9452999830245972,0.9434999823570251,0.9473000168800354,0.19333025813102722,0.18790733814239502,0.18806177377700806,0.1953447461128235
8,1.0,1.0,1.0,1.0,0.34375,0.004836791194975376,0.002652004361152649,0.0020205082837492228,0.0027030317578464746,0.9476000070571899,0.9480000138282776,0.9485999941825867,0.947700023651123,0.9496999979019165,0.18950414657592773,0.18432998657226562,0.18164849281311035,0.19087497889995575
9,1.0,1.0,1.0,1.0,0.375,0.002918106969445944,0.0037065623328089714,0.02584843337535858,0.0024464207235723734,0.9480000138282776,0.9480999708175659,0.947700023651123,0.9485999941825867,0.9488999843597412,0.19035814702510834,0.18707458674907684,0.18649844825267792,0.1911574900150299
10,1.0,1.0,1.0,1.0,0.5,0.003257600823417306,0.0027301148511469364,0.0034810372162610292,0.0031093317084014416,0.9473999738693237,0.9470999836921692,0.9495999813079834,0.9459999799728394,0.9491000175476074,0.1953982412815094,0.19366341829299927,0.1874440759420395,0.1981455534696579
11,0.9375,1.0,1.0,1.0,0.40625,0.10021405667066574,0.0013616038486361504,0.002120367484167218,0.002952985465526581,0.9434999823570251,0.9465000033378601,0.9480000138282776,0.9459999799728394,0.9466999769210815,0.20935429632663727,0.19777993857860565,0.19244253635406494,0.2003907561302185
12,1.0,1.0,1.0,1.0,0.34375,0.0013333812821656466,0.012967676855623722,0.0024393126368522644,0.0022690470796078444,0.9462000131607056,0.9488999843597412,0.9480999708175659,0.9484000205993652,0.9480999708175659,0.20013566315174103,0.19000603258609772,0.18675245344638824,0.19443202018737793
13,1.0,1.0,1.0,1.0,0.375,0.0014841671800240874,0.0011918394593521953,0.0033743944950401783,0.0015517217107117176,0.9470999836921692,0.9487000107765198,0.9487000107765198,0.9484999775886536,0.9496999979019165,0.19860246777534485,0.19157633185386658,0.188690185546875,0.19566486775875092
14,1.0,1.0,1.0,1.0,0.28125,0.0018798514502122998,0.005101742222905159,0.00045456321095116436,0.0006548496894538403,0.9473999738693237,0.9480999708175659,0.9485999941825867,0.948199987411499,0.9492999911308289,0.20047587156295776,0.1938125491142273,0.1909562349319458,0.19765861332416534
