,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.59375,0.25,0.40625,3.9203147888183594,4.635283946990967,0.18757499754428864,0.18757499754428864,0.18757499754428864,4.838791847229004,4.838791847229004
1,0.875,0.78125,0.5,2.704775333404541,3.0583012104034424,0.44020000100135803,0.44020000100135803,0.44020000100135803,3.906010627746582,3.906010627746582
2,0.96875,0.9375,0.625,2.1289050579071045,2.569586753845215,0.538224995136261,0.538224995136261,0.538224995136261,3.512441396713257,3.512441396713257
3,1.0,0.84375,0.75,1.658409595489502,2.768535614013672,0.5829499959945679,0.5829499959945679,0.5829499959945679,3.298983573913574,3.298983573913574
4,1.0,1.0,0.1875,1.663509488105774,1.1819133758544922,0.5989000201225281,0.5989000201225281,0.5989000201225281,3.1758992671966553,3.1758992671966553
5,1.0,0.96875,0.84375,1.0878143310546875,1.6892790794372559,0.6059250235557556,0.6059250235557556,0.6059250235557556,3.0884804725646973,3.0884804725646973
6,1.0,0.96875,0.4375,1.8021169900894165,1.8726024627685547,0.6020500063896179,0.6020500063896179,0.6020500063896179,3.0433425903320312,3.0433425903320312
7,1.0,1.0,0.65625,1.0423648357391357,1.263303279876709,0.597000002861023,0.597000002861023,0.597000002861023,3.0049421787261963,3.0049421787261963
8,1.0,1.0,0.71875,0.7255327105522156,1.1387920379638672,0.5846250057220459,0.5846250057220459,0.5846250057220459,3.0048205852508545,3.0048205852508545
9,1.0,0.96875,0.6875,0.7694742679595947,1.202958583831787,0.5838750004768372,0.5838750004768372,0.5838750004768372,2.972867965698242,2.972867965698242
10,1.0,1.0,0.46875,0.7887215614318848,0.6067594289779663,0.5750499963760376,0.5750499963760376,0.5750499963760376,2.9548370838165283,2.9548370838165283
11,1.0,0.9375,0.75,0.7468823194503784,1.7988245487213135,0.5651999711990356,0.5651999711990356,0.5651999711990356,2.95145583152771,2.95145583152771
12,1.0,1.0,0.625,0.7015324234962463,0.765720784664154,0.5595250129699707,0.5595250129699707,0.5595250129699707,2.94235897064209,2.94235897064209
13,1.0,1.0,0.5625,0.5217388868331909,0.7724086046218872,0.550724983215332,0.550724983215332,0.550724983215332,2.9429051876068115,2.9429051876068115
14,1.0,1.0,0.4375,0.5543701648712158,0.5305622816085815,0.5441750288009644,0.5441750288009644,0.5441750288009644,2.936762571334839,2.936762571334839
