,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,loss_1,loss_2,loss_3,loss_4,loss_5,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,0.9983333349227905,1.0,0.996666669845581,0.9983333349227905,0.9983333349227905,0.9983333349227905,0.888700008392334,0.8812999725341797,0.8822000026702881,0.885699987411499,0.890999972820282,0.8889999985694885,0.02141706645488739,0.029559124261140823,0.02268490195274353,0.041169121861457825,0.02317136898636818,0.3976289927959442,0.39370450377464294,0.39217835664749146,0.3731849193572998,0.3780536949634552
1,1.0,1.0,1.0,1.0,1.0,1.0,0.8930000066757202,0.888700008392334,0.8902999758720398,0.8917999863624573,0.8914999961853027,0.890500009059906,0.005499493330717087,0.005805911496281624,0.003689156612381339,0.003317426424473524,0.007295822259038687,0.39090755581855774,0.3860502243041992,0.389690637588501,0.3782949149608612,0.38196852803230286
2,1.0,1.0,1.0,1.0,1.0,1.0,0.8927000164985657,0.8889999985694885,0.8910999894142151,0.8906000256538391,0.8907999992370605,0.8901000022888184,0.002139235381036997,0.0018841114360839128,0.0029895734041929245,0.0040775686502456665,0.0025509456172585487,0.39666682481765747,0.39158549904823303,0.3990538716316223,0.3851699233055115,0.3905872404575348
3,1.0,1.0,1.0,1.0,1.0,1.0,0.8924000263214111,0.8891000151634216,0.8910999894142151,0.8902999758720398,0.8910999894142151,0.88919997215271,0.001200100057758391,0.0031094211153686047,0.0017379261553287506,0.0015269542345777154,0.0017761602066457272,0.4040575325489044,0.3984958827495575,0.4055549204349518,0.39202260971069336,0.3973625600337982
4,1.0,1.0,1.0,1.0,1.0,1.0,0.8920999765396118,0.8899000287055969,0.8913999795913696,0.890500009059906,0.8906999826431274,0.88919997215271,0.0025452994741499424,0.0016149976290762424,0.0011226651258766651,0.0016770369838923216,0.0011086907470598817,0.4093683362007141,0.40510568022727966,0.411531925201416,0.39858749508857727,0.40383243560791016
5,1.0,1.0,1.0,1.0,1.0,1.0,0.8912000060081482,0.8884000182151794,0.8910999894142151,0.8888000249862671,0.8895999789237976,0.888700008392334,0.0011649185325950384,0.002379821380600333,0.0028806456830352545,0.0009995518485084176,0.0010222301352769136,0.4169518053531647,0.412212997674942,0.41841039061546326,0.40566739439964294,0.4094938337802887
6,1.0,1.0,1.0,1.0,1.0,1.0,0.8907999992370605,0.8876000046730042,0.8906999826431274,0.8894000053405762,0.8899999856948853,0.8884999752044678,0.000861238338984549,0.0007327304338105023,0.0008635026752017438,0.0009750736062414944,0.0011158145498484373,0.42122143507003784,0.4161127805709839,0.4229336977005005,0.40932783484458923,0.41367924213409424
7,1.0,1.0,1.0,1.0,1.0,1.0,0.8906000256538391,0.8884000182151794,0.8899000287055969,0.8898000121116638,0.890500009059906,0.8884999752044678,0.00032854024902917445,0.0008184710750356317,0.0006978684104979038,0.00118053809273988,0.0004680140409618616,0.4238824248313904,0.41969922184944153,0.42660975456237793,0.4129636287689209,0.4177154302597046
8,1.0,1.0,1.0,1.0,1.0,1.0,0.8899999856948853,0.8877000212669373,0.8894000053405762,0.8896999955177307,0.890500009059906,0.8884000182151794,0.0007621452095918357,0.0005300604389049113,0.00037013611290603876,0.0010247777681797743,0.0005806682165712118,0.4281204044818878,0.424115926027298,0.430919349193573,0.41694217920303345,0.4220042824745178
9,1.0,1.0,1.0,1.0,1.0,1.0,0.8896999955177307,0.8876000046730042,0.8895000219345093,0.8895999789237976,0.8902000188827515,0.8878999948501587,0.00019709474872797728,0.0005817318451590836,0.0011379907373338938,0.0003314536879770458,0.0006291689351201057,0.4325617253780365,0.42821982502937317,0.4352876543998718,0.4213455021381378,0.4265517592430115
